W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01
W_02,1,1,1,1,1,I_04,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,I_02,1,1,W_01,W_01,1,M_1788,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,1,M_1787,1,1,1,1,1,1,1,1,7,1,1,1,1,M_1786,1,1,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,I_03,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,I_03,W_01
W_02,W_02,W_01,W_01,1,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,1,W_01,W_01,W_01,W_01
W_02,W_02,W_02,W_02,5,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,M_1785,W_02,W_01,W_01,W_02
W_02,W_01,W_01,W_01,1,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,1,W_02,W_02,W_01,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,I_00,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,1,6,1,1,I_01,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,I_03,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_02,W_01,W_01,W_02,1,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,1,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,1,W_01,W_01,W_01,W_01
W_01,W_02,W_02,W_02,1,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_02,1,W_01,W_02,W_02,W_02
W_01,W_02,W_02,W_01,1,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01,1,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,1,W_02,W_01,W_02,W_02
W_02,1,1,1,1,1,14,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,15,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,1,M_1784,1,1,1,11,1,1,1,W_01
W_02,I_09,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02
