W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03
W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,I_00,W_01
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,1,M_1369,1,1,1,1,1,1,1,1,M_1368,1,1,1,11,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,15,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,W_01,W_03,W_01,1,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03
W_03,W_01,W_03,W_03,3,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01
W_01,W_01,W_03,W_01,1,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,I_03,1,I_01,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,1,M_1371,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,I_02,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_03,W_03,W_01,W_01,1,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,1,W_01,W_01,W_01,W_01
W_03,W_03,W_01,W_01,M_1370,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,M_1372,W_03,W_03,W_01,W_01
W_01,W_03,W_03,W_01,1,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01,W_03,1,W_03,W_01,W_01,W_01
W_03,1,14,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,1,1,1,I_03,1,1,1,1,1,1,8,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,I_11,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_03,W_03
