0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_01
W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_01,W_01,1,I_01,1,1,1,W_03,W_01,W_01,1,1,M_1460,I_03,1,1,1,W_01
W_03,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,M_1458,1,1,1,1,1,1,1,W_03
W_01,I_00,1,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,W_01,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_03,W_01,W_01,1,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,W_01,W_03,W_03,1,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,1,W_01,W_01,W_01,W_03
W_03,W_03,W_03,W_01,1,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,4,W_01,W_01,W_03,W_03
W_01,W_03,W_01,W_03,M_1457,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_03,1,W_01,W_03,W_03,W_01
W_01,W_01,1,1,1,1,1,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,1,1,1,1,1,W_01,W_01,W_01,1,1,14,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_01,W_03,W_03,I_03,1,1,1,1,1,1,W_01,W_01,1,1,1,I_03,1,1,1,W_03
W_03,W_03,1,1,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,1,1,1,1,1,W_01,W_01,W_03,W_01,W_01,W_01,I_10,W_01,W_03,W_03,W_01,W_01,1,1,1,1,I_02,1,1,W_01
W_01,W_01,W_03,W_03,1,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,1,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,1,W_01,W_03,W_03,W_01
W_01,W_01,W_01,W_03,M_1456,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,1,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,1,W_03,W_01,W_03,W_01
W_03,W_03,W_03,W_03,1,W_01,W_01,I_03,W_03,W_01,W_01,W_01,W_01,1,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,1,W_03,W_01,W_01,W_01
W_03,W_01,W_01,W_03,1,W_01,W_03,M_1459,W_03,W_03,W_03,1,1,1,1,1,W_01,W_03,W_01,W_03,W_01,W_03,1,W_03,W_01,W_03,W_01
W_01,1,1,1,1,15,1,1,W_03,W_01,W_03,1,1,1,1,1,W_03,W_01,W_01,W_03,1,1,1,1,1,W_03,W_03
W_01,1,1,1,11,1,1,1,W_03,W_03,W_01,1,1,1,1,1,1,1,1,8,1,1,1,1,1,W_03,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,W_03,1,1,1,1,1,W_01,W_03,W_03,W_03,1,1,1,1,1,W_01,W_01
W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,1,1,1,1,1,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01
W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03
