W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01
W_01,I_03,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,14,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,M_1460,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,I_03,1,I_10,W_03
W_01,W_01,W_01,W_01,1,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,1,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03
W_01,W_01,W_03,W_03,M_1459,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,1,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01
W_01,W_03,W_03,W_03,1,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_01,1,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,15,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,I_02,1,1,1,1,1,1,1,11,1,1,1,1,M_1456,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,I_00,1,W_03
W_01,W_03,W_03,W_01,1,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,1,W_03,W_01,W_01,W_01
W_03,W_01,W_01,W_03,4,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,1,W_01,W_01,W_03,W_01
W_03,W_03,W_03,W_03,1,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,1,W_03,W_03,W_03,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,I_01,1,M_1457,1,I_03,1,1,1,1,1,1,6,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,M_1458,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_01
