W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_03
W_01,1,1,1,1,1,1,1,W_03,W_01,1,I_03,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,I_09,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,14,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01
W_01,W_03,W_01,W_01,1,W_03,W_01,W_03,W_03,W_03,W_03,M_1355,W_01,1,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01
W_01,W_03,W_01,W_01,1,W_03,W_01,W_03,W_01,W_03,W_03,I_03,W_01,M_1356,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03
W_03,W_03,W_03,W_03,1,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_03,1,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_01
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,I_03,1,1,1,1,1,I_01,W_03
W_03,1,1,1,1,I_03,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,M_1354,1,1,1,1,1,1,1,W_01
W_01,1,I_02,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03
W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,1,W_01,W_03,W_03,W_03
W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_03,3,W_01,W_01,W_01,W_01
W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,1,W_03,W_01,W_01,W_01
W_03,1,15,1,1,1,1,1,W_01,W_03,1,1,1,I_00,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,11,1,1,1,1,M_1352,1,1,1,1,1,1,1,1,M_1353,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01
