W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_03,W_03,W_03
W_02,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,W_03,W_02,1,1,1,11,1,1,1,W_03
W_02,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,I_03,1,W_02,W_02,1,I_00,1,1,1,1,1,W_02
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,15,1,1,1,1,W_03
W_02,W_02,W_02,W_03,1,W_02,W_03,W_02,W_03,W_03,W_03,W_02,W_03,1,W_02,W_02,W_02,W_03,W_03,W_02,W_03,W_02,1,W_03,W_03,W_02,W_03
W_03,W_02,W_02,W_03,1,W_02,W_03,W_03,W_03,W_03,W_02,W_02,W_03,1,W_03,W_02,W_03,W_02,W_03,W_02,W_03,W_02,M_1176,W_03,W_02,W_03,W_03
W_02,W_03,W_03,W_02,1,W_03,W_02,W_02,W_03,W_03,W_02,W_02,W_02,1,W_03,W_03,W_03,W_03,W_02,W_02,W_02,W_03,1,W_02,W_02,W_03,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,M_1177,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_03,W_02,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,I_03,1,1,1,M_1180,1,1,1,1,1,1,1,1,M_1179,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,I_11,14,1,W_03,W_02,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,I_02,1,1,W_03,W_03,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_03
W_03,W_03,W_03,W_03,1,W_03,M_1178,W_02,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_03,W_03,W_03,W_02,W_02,W_02,1,W_02,W_02,W_02,W_03
W_03,W_02,W_03,W_02,4,W_02,I_03,W_02,W_03,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_02,W_03,W_03,W_03,W_02,W_03,1,W_02,W_03,W_03,W_03
W_03,W_02,W_03,W_02,1,W_03,W_02,W_03,W_02,W_03,W_03,W_03,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_03,1,W_02,W_03,W_02,W_03
W_03,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_03,W_02,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_02
W_03,1,1,1,1,1,1,I_03,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,W_03
W_03,1,1,I_01,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_03,W_02,1,1,1,1,1,1,1,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_02,W_03,W_03,W_02,W_02,W_03,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_02,W_03,W_02,W_03,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_03,W_03
