0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01
W_01,W_02,1,1,1,1,1,W_02,W_01,W_02,W_01,1,1,1,1,1,W_01,W_01,W_01,W_01,1,1,I_00,15,1,W_02,W_02
W_02,W_01,1,1,1,1,1,W_02,W_01,W_01,W_02,1,1,1,1,1,1,1,1,M_1680,1,1,11,1,1,W_02,W_02
W_01,W_01,1,1,1,1,14,W_02,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01,W_02,W_02,1,1,1,1,1,W_01,W_02
W_01,W_01,W_01,W_01,I_11,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,1,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,M_1683,W_02,W_02
W_01,W_02,W_02,W_01,1,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,M_1681,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,I_03,W_01,W_01
W_01,W_02,W_02,W_02,1,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,1,W_02,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01
W_02,W_01,W_01,W_02,1,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_01,1,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02
W_02,W_01,W_01,W_01,1,W_01,W_02,W_02,W_02,W_01,W_02,1,1,1,1,1,W_01,W_01,W_01,W_01,1,1,1,1,1,W_02,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,W_01,1,1,1,1,1,W_01,W_01,W_01,W_01,1,1,I_03,1,1,W_02,W_01
W_01,1,1,1,1,1,1,I_03,W_02,W_01,W_01,1,1,1,1,1,6,1,1,1,1,1,1,1,1,W_02,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,W_02,1,1,1,1,1,W_02,W_02,W_01,W_01,1,1,1,1,1,W_01,W_01
W_01,W_02,W_02,W_01,1,W_01,W_01,W_02,W_02,W_02,W_01,1,1,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01
W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,1,W_02,W_01,W_01,W_01
W_02,W_02,W_01,W_02,1,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,M_1682,W_01,W_01,W_02,W_01
W_01,W_02,W_01,W_02,1,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,1,W_02,W_01,W_02,W_02
W_01,W_02,W_01,W_02,5,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_02,W_02,1,1,1,1,1,W_02,W_01
W_02,I_03,1,1,1,1,1,I_02,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,W_01,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02,W_01,W_01,1,M_1684,1,1,I_01,W_01,W_02
W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,1,1,1,1,1,W_02,W_01
W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01
