W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03
W_01,1,1,1,1,1,15,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,11,1,1,1,1,M_1408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,I_00,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,1,W_01,W_03,W_01,W_01
W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_01,3,W_03,W_03,W_01,W_01
W_01,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,1,W_03,W_01,W_03,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,M_1412,1,1,1,1,1,1,W_03,W_01,I_03,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,I_02,1,W_03,W_03,1,1,1,1,1,1,1,W_01
W_01,W_01,W_01,W_03,1,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,1,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_03,1,W_03,W_01,W_01,W_01
W_03,W_03,W_03,W_01,1,W_01,W_03,W_01,W_01,W_03,W_03,W_01,W_01,M_1411,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_03,M_1409,W_03,W_03,W_03,W_03
W_03,W_01,W_01,W_03,1,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_01,1,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,1,W_01,W_01,W_01,W_01
W_01,14,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,I_03,1,W_03,W_01,1,1,1,1,I_01,1,1,W_03
W_01,1,1,1,I_03,1,1,1,W_01,W_03,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,M_1410,W_01
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01
