W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_03
W_03,1,1,1,1,1,15,1,W_01,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,11,1,1,1,1,M_1408,1,1,1,1,1,1,1,1,M_1409,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,I_00,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_01,1,W_03,W_03,W_01,W_03
W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_01,W_03,W_03,W_01,3,W_01,W_01,W_01,W_01
W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_03,W_01,W_03,1,W_03,W_01,W_01,W_01
W_03,I_10,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,M_1412,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,I_02,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,W_01,W_01,W_03,1,W_01,W_01,W_01,W_03,W_03,W_01,W_01,W_03,1,W_01,W_03,W_01,W_03,W_01,W_03,W_01,W_01,1,W_01,W_03,W_03,W_03
W_03,W_01,W_01,W_03,M_1410,W_01,W_01,W_01,W_03,W_03,W_01,W_03,W_03,1,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_03,1,W_01,W_01,W_01,W_01
W_01,W_01,W_03,W_03,1,W_03,W_03,W_03,W_01,W_03,W_01,W_03,W_01,1,W_01,W_01,W_03,W_03,W_01,W_01,W_03,W_03,1,W_03,W_01,W_03,W_03
W_03,14,I_03,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,I_01,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,I_03,W_03
W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_03,W_03,W_03,W_01,W_01
