W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,I_03,W_02,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,1,M_1794,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,I_01,M_1796,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_01,W_01,W_02,W_01,1,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,1,W_02,W_02,W_01,W_02
W_01,W_02,W_02,W_02,4,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,M_1793,W_01,W_02,W_02,W_02
W_01,W_02,W_02,W_02,1,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_02,W_01
W_02,1,1,I_03,1,1,1,1,W_02,W_02,1,1,1,1,1,1,14,W_02,W_02,1,1,1,I_00,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,M_1795,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,I_03,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_01,W_02,W_01,W_02,1,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,1,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_01,W_01
W_02,W_01,W_02,W_01,1,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,1,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,M_1792,W_02,W_01,W_01,W_01
W_02,W_02,W_02,W_01,1,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_01,1,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,1,W_02,W_01,W_02,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,15,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,I_10,W_02,W_01,1,1,1,11,1,1,1,W_02
W_02,1,1,I_02,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_01
W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_01
