0,0,0,0,W_02,I_03,W_02,W_02,W_02,W_01,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01
W_01,W_01,W_02,W_01,W_01,M_1059,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_02
W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,M_1058,1,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,I_00,W_02,W_02,I_03,1,1,1,M_1060,1,1,W_02,W_02,1,1,1,1,I_01,1,1,W_02
W_02,W_01,W_01,W_01,M_1057,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_02,W_02
W_02,W_01,W_02,W_01,1,W_01,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_01,W_02,1,W_01,W_02,W_01,W_02
W_01,W_02,W_01,W_01,1,W_01,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,1,W_02,W_01,W_01,W_01
W_02,W_01,W_02,W_01,1,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,4,W_02,W_02,W_02,W_02
W_02,W_02,1,1,1,1,1,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_02,1,W_02,W_01,W_01,W_01
W_02,W_02,1,1,1,1,1,W_01,W_01,W_01,1,1,15,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,W_02,W_01
W_02,W_02,1,1,1,1,1,M_1056,1,1,1,1,1,11,1,1,1,W_01,W_01,W_02,1,1,1,1,1,W_02,W_01
W_01,W_02,1,1,1,1,1,W_01,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01
W_02,W_01,1,1,1,1,1,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_02,1,W_01,W_01,W_02,W_02
W_01,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,1,W_02,W_02,W_01,W_01
W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,1,W_01,W_01,W_01,W_01
W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_01,W_01,1,W_02,W_02,W_02,W_01
W_01,W_02,1,1,1,1,1,W_02,W_02,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_01,W_02,W_01,W_01,W_01,1,W_02,W_02,W_01,W_02
W_01,W_02,14,1,1,1,1,W_02,W_01,W_02,W_01,I_03,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,1,1,W_02
W_02,W_01,1,1,1,1,1,I_11,1,1,1,1,1,1,1,1,8,1,1,I_02,1,1,1,1,1,1,W_02
W_02,W_01,1,1,1,1,1,W_01,W_02,W_02,W_01,1,1,1,1,1,W_02,W_01,W_01,1,1,1,1,1,I_03,1,W_01
W_02,W_02,1,1,1,1,1,W_01,W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_01,W_01,W_01
W_01,W_01,W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02
