W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_02,W_01
W_02,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01
W_01,I_00,1,1,1,1,1,15,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,1,1,1,11,1,1,1,1,M_1152,1,1,1,1,1,1,1,1,M_1153,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_01,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,W_01,M_1154,W_02,W_01,W_02,W_01,W_02,W_01,1,W_02,W_01,W_02,W_02
W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_01,I_03,W_01,W_01,W_01,W_02,W_02,W_02,3,W_02,W_02,W_02,W_02
W_01,W_01,W_01,W_01,W_01,W_02,W_01,W_01,W_01,W_02,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_01,W_02,W_01,W_02,W_02,1,W_01,W_01,W_01,W_02
W_02,1,1,1,1,I_11,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_02,W_02,14,1,1,1,1,1,1,W_02,W_02,1,1,1,1,I_01,1,1,W_02
W_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M_1155,1,1,1,1,1,1,1,W_02
W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,I_03,1,W_01,W_01,1,1,1,1,1,1,1,W_02
W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02
W_02,W_01,W_01,W_01,1,W_02,W_01,W_01,W_01,W_01,W_02,W_02,W_02,1,W_02,W_02,W_01,W_02,W_01,W_01,W_02,W_02,1,W_02,W_02,W_02,W_02
W_02,W_02,W_02,W_01,5,W_01,W_01,W_02,W_02,W_02,W_02,W_01,W_02,M_1156,W_01,W_02,W_02,W_01,W_01,W_02,W_01,W_01,1,W_01,W_02,W_02,W_02
W_01,W_02,W_01,W_01,1,W_01,W_01,W_01,W_02,W_01,W_02,W_02,W_01,1,W_01,W_01,W_02,W_01,W_01,W_02,W_01,W_01,1,W_01,W_01,W_02,W_02
W_01,1,1,1,1,1,1,1,W_02,W_01,1,1,1,1,1,I_03,1,W_02,W_01,1,1,1,1,1,1,1,W_02
W_02,I_02,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01,W_02,1,1,1,1,1,1,1,W_01
W_02,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_02,W_02,1,1,1,1,1,I_03,1,W_02
W_02,W_01,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_02,W_02,W_01,W_02,W_01,W_02,W_01,W_01,W_02,W_02,W_01,W_01,W_01
