W_01,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_01,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,15,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,14,W_03
W_03,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,W_01,W_01,W_03,1,W_03,W_01,W_01,W_03,W_01,W_03,W_03,W_01,1,W_01,W_01,W_03,W_01,W_01,W_01,W_01,W_03,I_10,W_01,W_01,W_03,W_01
W_01,W_03,W_01,W_01,M_1580,W_01,W_03,W_01,W_01,W_01,W_03,W_03,W_03,1,W_03,W_01,W_01,W_03,W_03,W_03,W_01,W_01,M_1578,W_01,W_01,W_03,W_03
W_01,W_01,W_03,W_01,1,W_01,W_01,W_01,W_03,W_01,W_01,W_03,W_01,1,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_01,1,W_03,W_01,W_01,W_01
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,I_03,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,I_03,1,1,W_03
W_03,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_03
W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,I_00,1,1,W_01,W_01,1,1,1,1,1,1,1,W_01
W_03,W_03,W_01,W_01,1,W_01,W_03,W_01,W_03,W_03,W_01,W_03,W_03,W_01,W_03,W_01,W_03,W_03,W_03,M_1579,W_03,W_03,1,W_01,W_03,W_03,W_01
W_03,W_01,W_03,W_01,M_1576,W_03,W_01,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,I_03,W_01,W_03,5,W_01,W_01,W_01,W_03
W_01,W_03,W_01,W_03,1,W_03,W_03,W_01,W_03,W_03,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_03,1,W_01,W_03,W_01,W_01
W_03,1,1,1,1,1,1,I_01,W_01,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_03,W_01,1,1,1,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,M_1577,1,1,I_02,1,1,1,1,W_01
W_01,1,1,1,1,1,1,1,W_01,W_01,1,1,I_03,1,1,1,1,W_01,W_03,1,1,1,1,1,1,1,W_01
W_03,1,1,1,1,1,1,1,W_01,W_01,1,1,1,1,1,1,1,W_03,W_03,1,1,1,1,1,1,1,W_03
W_03,W_01,W_01,W_03,W_01,W_03,W_01,W_01,W_03,W_03,W_03,W_03,W_01,W_01,W_03,W_03,W_01,W_03,W_01,W_01,W_03,W_01,W_01,W_01,W_03,W_01,W_01
