0,0,0,0,0,0,0,0,0,0,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_02,W_03,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_03
0,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_02,W_02,1,1,1,1,1,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_02,W_02,W_02,W_02
W_03,W_03,1,1,1,1,1,W_02,W_03,W_03,W_02,1,1,1,1,1,W_03,W_02,W_02,1,1,1,1,1,14,1,W_02
W_02,W_02,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,I_09,1,1,1,1,1,1,1,W_03
W_03,W_03,1,1,1,I_02,1,W_02,W_02,W_02,W_03,1,1,I_03,1,1,W_02,W_02,W_03,1,1,1,1,1,1,1,W_02
W_02,W_03,W_03,W_03,1,W_02,W_03,W_03,W_02,W_03,W_02,1,1,1,1,1,W_02,W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_02,W_03,W_03
W_02,W_02,W_02,W_03,1,W_02,W_03,W_03,W_03,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_03,W_02,W_02
W_02,W_02,W_02,W_02,1,W_03,W_03,W_03,W_02,W_03,W_02,W_02,W_02,W_03,I_03,W_02,W_02,W_02,W_03,W_03,W_03,W_03,W_03,W_02,W_03,W_02,W_02
W_03,W_03,W_02,W_03,1,W_03,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_02,M_1211,W_02,W_03,W_03,W_02,W_03,W_02,W_03,W_02,W_02,W_02,W_03,W_02
W_03,W_02,W_02,W_03,1,W_03,W_02,W_03,W_03,W_02,W_02,1,1,1,1,1,W_02,W_03,W_02,1,1,1,1,1,1,1,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,W_02,15,1,1,1,I_00,W_03,W_02,W_02,1,1,1,1,1,1,1,W_03
W_02,1,1,1,1,1,1,1,W_02,W_03,W_02,1,1,11,1,1,1,M_1208,1,1,1,1,1,1,1,1,W_03
W_03,1,1,1,1,1,1,1,W_02,W_03,W_03,1,1,1,1,1,W_02,W_03,W_02,1,1,1,1,1,1,1,W_02
W_03,W_03,W_03,W_02,1,W_03,W_02,W_03,W_02,W_02,W_02,1,1,1,1,1,W_02,W_03,W_02,1,1,1,1,1,1,1,W_03
W_03,W_03,W_03,W_02,1,W_02,W_03,W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_02,W_03,W_03,W_03,W_03,W_02,W_03,W_02,1,W_02,W_02,W_02,W_02
W_03,W_03,W_03,W_03,4,W_03,W_03,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_02,W_03,W_03,W_03,W_02,W_03,W_03,W_03,M_1209,W_03,W_03,W_02,W_03
W_03,W_03,W_03,W_02,1,W_03,W_03,W_02,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_02,1,W_02,W_03,W_03,W_03
W_03,W_02,W_03,W_02,1,W_02,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_03,W_02,W_03,W_02,W_02,1,1,1,1,1,W_02,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,W_03,1,1,1,1,M_1212,W_02,W_03,W_02,W_02,1,1,1,1,1,W_03,W_03
W_02,1,1,1,1,1,1,I_01,1,1,M_1210,1,1,1,I_03,1,6,1,1,1,1,1,1,1,1,W_03,W_02
W_03,1,1,1,1,1,1,1,W_02,W_03,W_03,1,1,1,1,1,W_03,W_02,W_02,W_02,1,1,1,1,1,W_02,W_02
W_02,W_02,W_02,W_02,W_02,W_02,W_02,W_03,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_03,W_03,W_03,1,1,1,1,1,W_03,W_02
W_02,W_03,W_03,W_03,W_02,W_02,W_02,W_02,W_03,W_02,W_03,W_03,W_03,W_03,W_02,W_02,W_03,W_03,W_02,W_03,W_02,W_02,W_03,W_03,W_02,W_02,W_03
